Event_Date,Event_Description
1991-01-17,Gulf War Begins
2003-03-20,Iraq War Begins
2008-09-15,Global Financial Crisis
2011-02-15,Arab Spring Onset
2014-06-10,ISIS Insurgency in Iraq
2014-11-27,OPEC Maintains Production
2016-11-30,OPEC Production Cut
2018-05-08,U.S. Withdraws from Iran Deal
2020-03-08,OPEC+ Price War
2020-04-12,OPEC+ Production Cut
2022-02-24,Russia-Ukraine Conflict Begins
